case:concept:name|concept:name|start_timestamp|time:timestamp|partner|costs
1|start (03s352c)|2022-05-10 09:24:05.538631|2022-05-10 09:24:05.574631|None|{'total': 0.0}
1|be001 [Transportation] (1arizjy)|2022-05-10 09:24:05.682631|2022-05-10 10:32:41.282211|None|{'material': 0.0, 'personal': 0.0, 'transport': 99.06603193744914, 'vertrieb': 0.0, 'equipment': 0.0}
1|be002 [Transportation] (168fptf)|2022-05-10 09:24:05.682631|2022-05-10 10:31:12.398645|None|{'material': 0.0, 'personal': 0.0, 'transport': 110.76190588171666, 'vertrieb': 0.0, 'equipment': 0.0}
1|be001 [Form] (1mjnx0a)|2022-05-10 10:32:41.390211|2022-05-11 01:16:08.876202|None|{'material': 36.8183044743496, 'personal': 60.641448128413224, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
1|be001 [Reinforce] (13yzgaq)|2022-05-11 02:12:37.152629|2022-05-11 04:00:10.121639|None|{'material': 11.468141747626106, 'personal': 75.17270043756247, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
1|be003 [Transportation] (1f972w1)|2022-05-10 10:32:41.462211|2022-05-10 11:35:50.818657|None|{'material': 0.0, 'personal': 0.0, 'transport': 95.61791354849755, 'vertrieb': 0.0, 'equipment': 0.0}
1|be001 [Concrete] (13eiy6v)|2022-05-11 04:57:04.062479|2022-05-13 10:28:58.472835|None|{'material': 86.59685522633424, 'personal': 65.16910255266414, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
1|be0045 [Transportation] (1xoqapy)|2022-05-10 11:35:50.926657|2022-05-10 12:43:26.390704|None|{'material': 0.0, 'personal': 0.0, 'transport': 86.72211429999993, 'vertrieb': 0.0, 'equipment': 0.0}
1|be002 [Form] (0iiaqxn)|2022-05-13 10:28:58.652835|2022-05-14 00:16:49.643451|None|{'material': 38.9015655553796, 'personal': 69.97500697867355, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
1|be003 [Form] (0iuggzz)|2022-05-13 10:28:58.652835|2022-05-13 20:24:20.082934|None|{'material': 36.39392980201167, 'personal': 59.71999128944544, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
